                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2091,                 3.6213,                 2.7575,                0.00358,                   0.18,                0.00954,                0.00695,                 1.5441,                    inf,                  1.477,                0.00015,                0.00015,                0.00015
                      2,                 1.1058,                 1.2283,                 1.1958,                0.46668,                    0.5,                0.49036,                0.25866,                 1.4672,                 16.064,                 1.4166,             0.00030898,             0.00030898,             0.00030898
                      3,                0.90086,                 0.8006,                 1.0579,                0.74938,                   0.94,                0.88842,                0.72057,                 0.8885,                 4.0765,                 1.2704,              0.0004669,              0.0004669,              0.0004669
                      4,                0.87565,                0.69063,                 1.0441,                0.69973,                0.85305,                0.87748,                 0.6389,                 1.0541,                 4.0255,                  1.346,             0.00062376,             0.00062376,             0.00062376
                      5,                0.83111,                0.63377,                 1.0219,                0.58441,                0.44644,                0.33519,                0.13377,                  2.164,                 3.2344,                 2.2788,             0.00077957,             0.00077957,             0.00077957
                      6,                0.87997,                0.73698,                 1.0433,                0.19447,                0.70667,                0.36733,                0.27829,                0.89725,                 32.311,                 1.3539,             0.00093432,             0.00093432,             0.00093432
                      7,                 0.7767,                0.60966,                 1.0106,                0.84112,                0.77535,                0.89154,                0.59588,                 1.0992,                 3.7805,                 1.5553,              0.0009802,              0.0009802,              0.0009802
                      8,                 0.7857,                0.57153,                0.98311,                0.76853,                0.49819,                 0.7214,                0.42577,                 1.4967,                 4.4986,                 2.5284,              0.0009802,              0.0009802,              0.0009802
                      9,                0.75085,                0.51469,                0.98698,                0.80666,                0.84667,                0.86038,                0.53471,                 1.3261,                 1.6943,                  1.701,              0.0009769,              0.0009769,              0.0009769
                     10,                0.76953,                0.52744,                0.98195,                0.64758,                0.80008,                0.84698,                0.67626,                0.81412,                 1.5897,                  1.226,              0.0009736,              0.0009736,              0.0009736
                     11,                0.72667,                0.54359,                0.96704,                0.89108,                0.87897,                0.95034,                0.78475,                0.69229,                 1.5986,                 1.0756,              0.0009703,              0.0009703,              0.0009703
                     12,                 0.6795,                0.49759,                0.94992,                0.96865,                0.99931,                  0.995,                0.84729,                0.66246,                0.55259,                 1.0523,               0.000967,               0.000967,               0.000967
                     13,                0.67882,                0.46765,                0.94653,                0.98731,                0.99429,                  0.995,                0.81044,                0.75731,                0.52332,                 1.0145,              0.0009637,              0.0009637,              0.0009637
                     14,                 0.7084,                0.47411,                0.94423,                0.99455,                      1,                  0.995,                0.78728,                0.84507,                0.50678,                 1.0006,              0.0009604,              0.0009604,              0.0009604
                     15,                0.76768,                 0.4649,                0.94364,                0.92607,                0.98209,                0.98961,                0.81728,                 0.7626,                0.51574,                0.99179,              0.0009571,              0.0009571,              0.0009571
                     16,                0.68085,                0.44921,                0.93303,                0.99206,                      1,                  0.995,                0.85928,                0.61224,                0.43664,                 0.9288,              0.0009538,              0.0009538,              0.0009538
                     17,                0.63374,                0.42137,                0.92963,                0.98663,                0.97998,                  0.995,                0.86343,                0.59323,                0.38216,                0.92039,              0.0009505,              0.0009505,              0.0009505
                     18,                0.61863,                0.40947,                0.91188,                0.99077,                      1,                  0.995,                0.86941,                0.59429,                0.39409,                0.92678,              0.0009472,              0.0009472,              0.0009472
                     19,                0.59797,                0.39705,                0.90616,                0.99545,                      1,                  0.995,                0.87496,                0.55156,                0.33606,                0.89293,              0.0009439,              0.0009439,              0.0009439
                     20,                0.59842,                0.39891,                0.90907,                0.98659,                0.99333,                0.99272,                0.87301,                0.53304,                0.36496,                0.90208,              0.0009406,              0.0009406,              0.0009406
                     21,                0.67123,                0.42168,                0.92434,                0.97547,                0.98719,                0.99451,                0.84077,                0.66941,                0.45795,                 1.0317,              0.0009373,              0.0009373,              0.0009373
                     22,                0.65286,                0.41232,                0.90957,                0.99029,                0.98389,                  0.995,                0.86819,                0.56804,                0.38662,                0.94817,               0.000934,               0.000934,               0.000934
                     23,                0.61765,                0.38839,                0.90969,                0.99347,                      1,                  0.995,                 0.8718,                0.60547,                0.47231,                0.92795,              0.0009307,              0.0009307,              0.0009307
                     24,                0.58816,                0.37392,                0.90232,                0.99717,                      1,                  0.995,                0.85311,                0.64228,                0.38229,                0.91519,              0.0009274,              0.0009274,              0.0009274
                     25,                0.59556,                0.36374,                0.90466,                0.99662,                      1,                  0.995,                0.85974,                0.61332,                0.33957,                0.93767,              0.0009241,              0.0009241,              0.0009241
                     26,                0.60111,                0.36653,                0.90628,                0.99673,                      1,                  0.995,                0.87802,                0.57517,                0.32479,                0.89406,              0.0009208,              0.0009208,              0.0009208
                     27,                 0.5579,                0.35536,                0.88639,                0.99746,                      1,                  0.995,                0.90221,                0.49195,                0.28761,                0.85579,              0.0009175,              0.0009175,              0.0009175
